Date Time Observed.Flux
2012-01-02 18:00:00 133.3
2012-01-02 20:00:00 134.7
2012-01-02 22:00:00 132.2
2012-01-03 18:00:00 136.1
2012-01-03 20:00:00 134.6
2012-01-03 22:00:00 134.0
2012-01-04 18:00:00 139.3
2012-01-04 20:00:00 136.2
2012-01-04 22:00:00 136.9
2012-01-05 18:00:00 141.5
2012-01-05 20:00:00 141.3
2012-01-05 22:00:00 140.8
2012-01-06 18:00:00 137.9
2012-01-06 20:00:00 135.5
2012-01-06 22:00:00 136.0
2012-01-07 18:00:00 143.3
2012-01-07 20:00:00 140.5
2012-01-07 22:00:00 141.2
2012-01-08 18:00:00 139.3
2012-01-08 20:00:00 135.8
2012-01-08 22:00:00 138.9
2012-01-09 18:00:00 141.9
2012-01-09 20:00:00 142.3
2012-01-09 22:00:00 139.9
2012-01-10 18:00:00 130.5
2012-01-10 20:00:00 128.8
2012-01-10 22:00:00 130.2
2012-01-11 18:00:00 121.7
2012-01-11 20:00:00 120.1
2012-01-11 22:00:00 119.0
2012-01-12 18:00:00 117.5
2012-01-12 20:00:00 116.8
2012-01-12 22:00:00 118.1
2012-01-13 18:00:00 125.4
2012-01-13 20:00:00 124.1
2012-01-13 22:00:00 124.2
2012-01-14 18:00:00 130.8
2012-01-14 20:00:00 132.3
2012-01-14 22:00:00 133.9
2012-01-15 18:00:00 133.5
2012-01-15 20:00:00 133.5
2012-01-15 22:00:00 133.1
2012-01-16 18:00:00 140.7
2012-01-16 20:00:00 139.7
2012-01-16 22:00:00 140.7
2012-01-17 18:00:00 139.6
2012-01-17 20:00:00 139.0
2012-01-17 22:00:00 139.6
2012-01-18 18:00:00 144.0
2012-01-18 20:00:00 148.1
2012-01-18 22:00:00 140.6
2012-01-19 18:00:00 168.0
2012-01-19 20:00:00 157.0
2012-01-19 22:00:00 150.9
2012-01-20 18:00:00 143.3
2012-01-20 20:00:00 141.2
2012-01-20 22:00:00 141.4
2012-01-21 18:00:00 142.0
2012-01-21 20:00:00 141.6
2012-01-21 22:00:00 143.8
2012-01-22 18:00:00 139.8
2012-01-22 20:00:00 141.0
2012-01-22 22:00:00 141.0
2012-01-23 18:00:00 144.0
2012-01-23 20:00:00 144.3
2012-01-23 22:00:00 140.9
2012-01-24 18:00:00 137.1
2012-01-24 20:00:00 135.7
2012-01-24 22:00:00 131.2
2012-01-25 18:00:00 127.5
2012-01-25 20:00:00 126.4
2012-01-25 22:00:00 126.1
2012-01-26 18:00:00 130.3
2012-01-26 20:00:00 128.2
2012-01-26 22:00:00 129.8
2012-01-27 18:00:00 283.6
2012-01-27 20:00:00 141.7
2012-01-27 22:00:00 128.6
2012-01-28 18:00:00 115.2
2012-01-28 20:00:00 114.5
2012-01-28 22:00:00 114.1
2012-01-29 18:00:00 110.4
2012-01-29 20:00:00 109.8
2012-01-29 22:00:00 109.0
2012-01-30 18:00:00 113.0
2012-01-30 20:00:00 114.4
2012-01-30 22:00:00 113.8
2012-01-31 18:00:00 117.8
2012-01-31 20:00:00 116.5
2012-01-31 22:00:00 117.1
2012-02-01 18:00:00 118.1
2012-02-01 20:00:00 117.5
2012-02-01 22:00:00 117.6
2012-02-02 18:00:00 118.5
2012-02-02 20:00:00 118.0
2012-02-02 22:00:00 117.5
2012-02-03 18:00:00 112.1
2012-02-03 20:00:00 111.1
2012-02-03 22:00:00 109.2
2012-02-04 18:00:00 108.0
2012-02-04 20:00:00 107.0
2012-02-04 22:00:00 105.5
2012-02-05 18:00:00 102.6
2012-02-05 20:00:00 102.7
2012-02-05 22:00:00 103.4
2012-02-06 18:00:00 104.2
2012-02-06 20:00:00 112.0
2012-02-06 22:00:00 102.2
2012-02-07 18:00:00 107.1
2012-02-07 20:00:00 107.2
2012-02-07 22:00:00 113.9
2012-02-08 18:00:00 97.3
2012-02-08 20:00:00 97.2
2012-02-08 22:00:00 98.5
2012-02-09 18:00:00 99.5
2012-02-09 20:00:00 99.2
2012-02-09 22:00:00 103.0
2012-02-10 18:00:00 110.2
2012-02-10 20:00:00 110.8
2012-02-10 22:00:00 113.2
2012-02-11 18:00:00 112.8
2012-02-11 20:00:00 112.3
2012-02-11 22:00:00 111.2
2012-02-12 18:00:00 109.9
2012-02-12 20:00:00 110.4
2012-02-12 22:00:00 110.9
2012-02-13 18:00:00 108.8
2012-02-13 20:00:00 108.4
2012-02-13 22:00:00 108.2
2012-02-14 18:00:00 107.5
2012-02-14 20:00:00 107.4
2012-02-14 22:00:00 107.2
2012-02-15 18:00:00 105.6
2012-02-15 20:00:00 104.6
2012-02-15 22:00:00 104.6
2012-02-16 18:00:00 102.9
2012-02-16 20:00:00 103.2
2012-02-16 22:00:00 103.6
2012-02-17 18:00:00 104.1
2012-02-17 20:00:00 103.7
2012-02-17 22:00:00 103.4
2012-02-18 18:00:00 104.8
2012-02-18 20:00:00 104.1
2012-02-18 22:00:00 103.4
2012-02-19 18:00:00 106.0
2012-02-19 20:00:00 105.3
2012-02-19 22:00:00 106.5
2012-02-20 18:00:00 111.7
2012-02-20 20:00:00 111.1
2012-02-20 22:00:00 110.4
2012-02-21 18:00:00 106.8
2012-02-21 20:00:00 103.3
2012-02-21 22:00:00 100.5
2012-02-22 18:00:00 104.4
2012-02-22 20:00:00 104.2
2012-02-22 22:00:00 104.5
2012-02-23 18:00:00 103.9
2012-02-23 20:00:00 103.3
2012-02-23 22:00:00 103.7
2012-02-24 18:00:00 108.1
2012-02-24 20:00:00 108.9
2012-02-24 22:00:00 109.1
2012-02-25 18:00:00 108.7
2012-02-25 20:00:00 108.0
2012-02-25 22:00:00 107.9
2012-02-26 18:00:00 108.1
2012-02-26 20:00:00 107.0
2012-02-26 22:00:00 106.9
2012-02-27 18:00:00 106.8
2012-02-27 20:00:00 105.5
2012-02-27 22:00:00 104.7
2012-02-28 18:00:00 103.5
2012-02-28 20:00:00 103.3
2012-02-28 22:00:00 102.4
2012-02-29 18:00:00 100.4
2012-02-29 20:00:00 102.0
2012-02-29 22:00:00 102.8
2012-03-01 17:00:00 107.3
2012-03-01 20:00:00 103.4
2012-03-01 23:00:00 102.6
2012-03-02 17:00:00 105.8
2012-03-02 20:00:00 108.2
2012-03-02 23:00:00 107.7
2012-03-03 17:00:00 111.5
2012-03-03 20:00:00 116.4
2012-03-03 23:00:00 110.6
2012-03-04 17:00:00 122.9
2012-03-04 20:00:00 120.1
2012-03-04 23:00:00 123.4
2012-03-05 17:00:00 135.0
2012-03-05 20:00:00 131.6
2012-03-05 23:00:00 133.1
2012-03-06 17:00:00 137.9
2012-03-06 20:00:00 138.1
2012-03-06 23:00:00 144.5
2012-03-07 17:00:00 132.2
2012-03-07 20:00:00 135.7
2012-03-07 23:00:00 136.1
2012-03-08 17:00:00 138.0
2012-03-08 20:00:00 139.5
2012-03-08 23:00:00 137.8
2012-03-09 17:00:00 141.7
2012-03-09 20:00:00 145.5
2012-03-09 23:00:00 142.8
2012-03-10 17:00:00 140.6
2012-03-10 20:00:00 148.9
2012-03-10 23:00:00 132.0
2012-03-11 17:00:00 129.6
2012-03-11 20:00:00 131.2
2012-03-11 23:00:00 130.0
2012-03-12 17:00:00 130.3
2012-03-12 20:00:00 114.9
2012-03-12 23:00:00 127.2
2012-03-13 17:00:00 215.1
2012-03-13 20:00:00 140.7
2012-03-13 23:00:00 126.5
2012-03-14 17:00:00 121.6
2012-03-14 20:00:00 118.8
2012-03-14 23:00:00 118.5
2012-03-15 17:00:00 110.9
2012-03-15 20:00:00 110.6
2012-03-15 23:00:00 111.8
2012-03-16 17:00:00 102.2
2012-03-16 20:00:00 98.5
2012-03-16 23:00:00 100.7
2012-03-17 17:00:00 100.0
2012-03-17 20:00:00 102.4
2012-03-17 23:00:00 101.1
2012-03-18 17:00:00 101.8
2012-03-18 20:00:00 102.0
2012-03-18 23:00:00 101.8
2012-03-19 17:00:00 103.7
2012-03-19 20:00:00 101.8
2012-03-19 23:00:00 102.1
2012-03-20 17:00:00 100.7
2012-03-20 20:00:00 99.6
2012-03-20 23:00:00 99.7
2012-03-21 17:00:00 100.7
2012-03-21 20:00:00 99.9
2012-03-21 23:00:00 101.3
2012-03-22 17:00:00 101.6
2012-03-22 20:00:00 102.4
2012-03-22 23:00:00 103.2
2012-03-23 17:00:00 104.1
2012-03-23 20:00:00 104.8
2012-03-23 23:00:00 102.9
2012-03-24 17:00:00 102.3
2012-03-24 20:00:00 102.7
2012-03-24 23:00:00 103.0
2012-03-25 17:00:00 102.5
2012-03-25 20:00:00 101.3
2012-03-25 23:00:00 101.9
2012-03-26 17:00:00 102.1
2012-03-26 20:00:00 102.4
2012-03-26 23:00:00 103.2
2012-03-27 17:00:00 106.3
2012-03-27 20:00:00 105.6
2012-03-27 23:00:00 105.8
2012-03-28 17:00:00 106.6
2012-03-28 20:00:00 107.0
2012-03-28 23:00:00 107.9
2012-03-29 17:00:00 107.9
2012-03-29 20:00:00 111.5
2012-03-29 23:00:00 110.4
2012-03-30 17:00:00 112.0
2012-03-30 20:00:00 110.6
2012-03-30 23:00:00 110.0
2012-03-31 17:00:00 111.4
2012-03-31 20:00:00 110.1
2012-03-31 23:00:00 108.8
2012-04-01 17:00:00 108.0
2012-04-01 20:00:00 107.3
2012-04-01 23:00:00 105.1
2012-04-02 17:00:00 106.1
2012-04-02 20:00:00 105.9
2012-04-02 23:00:00 106.7
2012-04-03 17:00:00 104.3
2012-04-03 20:00:00 103.5
2012-04-03 23:00:00 103.8
2012-04-04 17:00:00 105.8
2012-04-04 20:00:00 102.1
2012-04-04 23:00:00 103.3
2012-04-05 17:00:00 103.3
2012-04-05 20:00:00 100.9
2012-04-05 23:00:00 105.1
2012-04-06 17:00:00 97.4
2012-04-06 20:00:00 97.4
2012-04-06 23:00:00 96.9
2012-04-07 17:00:00 95.7
2012-04-07 20:00:00 98.5
2012-04-07 23:00:00 94.9
2012-04-08 17:00:00 94.0
2012-04-08 20:00:00 93.3
2012-04-08 23:00:00 91.9
2012-04-09 17:00:00 95.0
2012-04-09 20:00:00 94.5
2012-04-09 23:00:00 94.2
2012-04-10 17:00:00 92.7
2012-04-10 20:00:00 93.3
2012-04-10 23:00:00 92.9
2012-04-11 17:00:00 93.8
2012-04-11 20:00:00 93.4
2012-04-11 23:00:00 94.1
2012-04-12 17:00:00 94.8
2012-04-12 20:00:00 95.3
2012-04-12 23:00:00 95.2
2012-04-13 17:00:00 97.9
2012-04-13 20:00:00 97.7
2012-04-13 23:00:00 97.5
2012-04-14 17:00:00 97.2
2012-04-14 20:00:00 98.1
2012-04-14 23:00:00 98.8
2012-04-15 17:00:00 101.4
2012-04-15 20:00:00 101.7
2012-04-15 23:00:00 103.5
2012-04-16 17:00:00 107.2
2012-04-16 20:00:00 107.9
2012-04-16 23:00:00 108.6
2012-04-17 17:00:00 111.5
2012-04-17 20:00:00 113.8
2012-04-17 23:00:00 113.8
2012-04-18 17:00:00 125.1
2012-04-18 20:00:00 121.5
2012-04-18 23:00:00 126.4
2012-04-19 17:00:00 135.6
2012-04-19 20:00:00 137.8
2012-04-19 23:00:00 138.6
2012-04-20 17:00:00 143.4
2012-04-20 20:00:00 141.7
2012-04-20 23:00:00 142.1
2012-04-21 17:00:00 148.1
2012-04-21 20:00:00 149.1
2012-04-21 23:00:00 145.6
2012-04-22 17:00:00 151.0
2012-04-22 20:00:00 147.9
2012-04-22 23:00:00 150.7
